RecordedDate,record_id,ra_name,event_description,sources_matrix_1_1,correct_date_1,sources_matrix_1_2,sources_matrix_2_1,correct_date_2,sources_matrix_2_2
Date Entry is recorded,Record ID,RA Name,Description of the event,Original date of first source,Correct for date of first source,URL of first source,Date of second source,Correct date of second source,URL of second source
4/1/20 18:04,6458240,Niklas Illenseer,"From March 16, 2020, Austria closes non-essential businesses with the exception of grocery stores, pharmacies, drug stores, post offices, banks, and other essential businesses.",3/13/20,3/13/20,https://orf.at/stories/3157719/,NA,,NA
4/1/20 18:06,2581133,Niklas Illenseer,"From March 16, 2020, Austria announced that resturants and bars are to close at 15:00.",3/13/20,3/13/20,https://orf.at/stories/3157719/,NA,,NA
4/1/20 18:20,5216531,Niklas Illenseer,"From March 17, 2020, Austria announced the closing of restaurants and bars.",3/15/20,3/15/20,https://www.wko.at/service/BGBLA_2020_II_96.pdf,NA,,NA
4/1/20 18:30,3941010,Niklas Illenseer,"From March 10, 2020, Austria prohibits passenger aircrafts departing from the People's Republic of China, Republic of Korea, Islamic Republic of Iran, and the Italian regions of Lombardy, Veneto, Emilia-Romagna, Marche, and Piedmont from landing for two weeks. Exceptions are cargo flights, mission flights, ambulance/rescue flights or transfer flights.",3/9/20,3/9/20,https://www.sozialministerium.at/dam/jcr:d866e7fd-7efe-4df6-9a4f-f3d784301831/BGBLA_2020_II_83%20(1).pdf,NA,,NA
4/1/20 18:35,7360011,Niklas Illenseer,"From March 11, 2020, Austria extended earlier restrictions prohibiting passenger aircrafts from the People's Republic of China, Republic of Korea, Islamic Republic of Iran, and the Italian regions of Lombardy, Veneto, Emilia-Romagna, Marche, Piedmont from landing to further include passenger aircrafts departing from entire Italy.",3/10/20,3/10/20,https://www.sozialministerium.at/dam/jcr:d642cdb7-80f8-4c4c-8747-08dfd6b31b25/VO%20%C3%84nderung%20der%20VO%20%C3%BCber%20das%20Landesverbot%20f%C3%BCr%20Luftfahrzeuge.pdf,NA,,NA
4/1/20 18:41,6455128,Niklas Illenseer,"From March 17, 2020, Austria extended earlier restrictions prohibiting passenger aircrafts from the People's Republic of China, Republic of Korea, Islamic Republic of Iran, and Italy from landing to further include passenger aircrafts departing from Switzerland, France, and Spain.",3/13/20,3/13/20,https://www.sozialministerium.at/dam/jcr:8c35cab3-c426-4307-a6f9-b8c51e86891b/BGBLA_2020_II_93.pdf,NA,,NA
4/1/20 18:45,4235048,Niklas Illenseer,"From March 18, 2020, Austria extended earlier restrictions prohibiting passenger aircrafts from the People's Republic of China, Republic of Korea, Islamic Republic of Iran, Italy, Switzerland, France, and Spain from landing to further include passenger aircrafts departing from Great Britain, the Netherlands, the Russian Federation, and Ukraine.",3/15/20,3/15/20,https://www.sozialministerium.at/dam/jcr:b7d1eeae-6515-4449-858d-bd2fca7be63d/BGBLA_2020_II_95%20(1)_nicht_barrierefrei.pdf,NA,,NA
4/1/20 18:49,1126064,Niklas Illenseer,"From March 19, 2020, Austria extends the exemptions of the restrictions prohibiting passenger aircrafts from landing to include repatriation flights.",3/18/20,3/18/20,https://www.sozialministerium.at/dam/jcr:dd158cfc-2b3b-41bb-a484-b27307aa24c6/BGBLA_2020_II_103.pdf,NA,,NA
4/1/20 18:54,6821060,Niklas Illenseer,"On March 20, 2020, Austria extended the restrictions prohibiting passenger aircrafts from landing until April 13, 2020.",3/20/20,3/20/20,https://www.sozialministerium.at/dam/jcr:8ad52382-e71c-4fbb-bb66-19fb73f4d230/BGBLA_2020_II_109.pdfsig.pdf,NA,,NA
4/1/20 18:57,9569727,Niklas Illenseer,"From March 16, 2020, Austria extends its restrictions on passenger rail services to also include a halt of passenger rail services from Switzerland and Liechtenstein until April 3, 2020.",3/13/20,3/13/20,https://www.sozialministerium.at/dam/jcr:80cfb748-d7f6-4fb5-bfdb-ced1a03171c7/BGBLA_2020_II_94.pdf,NA,,NA
4/1/20 19:03,5927984,Niklas Illenseer,"From March 17, 2020, Austria extends its earlier policy obligating persons who enter Austria from Italy to carry a medical certificate and show that the molecular biological test for SARS-CoV-2 is negative, to now also include persons entering from Switzerland and Liechtenstein. The medical certificate must be in German, English, Italian or French.",3/13/20,3/13/20,https://www.sozialministerium.at/dam/jcr:dbd84bb8-724f-4d3e-96a7-03528653f652/BGBLA_2020_II_92.pdf,NA,,NA
4/1/20 19:06,3878286,Niklas Illenseer,"From March 20, 2020, Austria extended an earlier policy to obligating persons who want to enter Austria from Italy, Switzerland, and Liechtenstein to carry a medical certificate and show that the molecular biological test for SARS-CoV-2 is negative, to now also include persons entering from Germany, Hungary, and Slovenia.",3/18/20,3/18/20,https://www.sozialministerium.at/dam/jcr:4af6af6a-0f78-4390-a579-1561c7ff45eb/BGBLA_2020_II_104.pdf,NA,,NA
4/1/20 19:10,2555304,Niklas Illenseer,"From March 14, 2020, Austria extends its temporary border controls with Italy to border controls at the internal borders with Switzerland and Liechtenstein for 10 days.",3/13/20,3/13/20,https://rdb.manz.at/document/ris.c.BGBl__II_Nr__91_2020/formats/ris.c.BGBl__II_Nr__91_2020.pdf,NA,,NA
4/1/20 19:15,4654528,Niklas Illenseer,"From March 19, 2020, Austria extends its temporary border controls with Italy, Switzerland, and Liechtenstein to border controls at the internal borders with Germany. The policy for all four countries is extended to April 7, 2020.",3/18/20,3/18/20,https://www.sozialministerium.at/dam/jcr:b86bd360-e364-4936-80db-132a20cb2d20/BGBLA_2020_II_102.pdf,NA,,NA
4/1/20 19:18,2522563,Niklas Illenseer,"From March 14, 2020, Austria extends its temporary border controls with Italy to border controls at the internal borders with Switzerland and Liechtenstein for 10 days.",3/13/20,3/13/20,https://rdb.manz.at/document/ris.c.BGBl__II_Nr__91_2020/formats/ris.c.BGBl__II_Nr__91_2020.pdf,NA,,NA
